Order ID,Order Date,Region,Category,Product,Quantity,Unit Price,Revenue,Profit,Customer Segment
10888,2025-06-28,  MAKKAH  ,Clothing,Denim Jacket,,277.7,$555.40,191.68,Wholesale
10891,2025-06-28,Madinah,Sports,Dumbbell Set,,230.51,1152.55,358.46,Retail
11136,2025-08-08,Madinah,Sports,Dumbbell Set,4,281.4,1125.6,459.42,Wholesale
12759,2026-05-06,Makkah,Electronics,Laptop Stand,2,63.16,126.32,56.29,Online
11132,2025-08-08,Makkah,Home & Kitchen,Coffee Maker,6,283.68,1702.08,732.36,Wholesale
12658,2026-04-17,Madinah,Beauty,Perfume,5,352.68,1763.4,704.0,Retail
10743,2025-06-05,Makkah,Sports,Cycling Helmet,3,224.32,672.96,247.73,Retail
10151,2025-02-28,Madinah,Clothing,Denim Jacket,4,263.81,1055.24,392.42,Online
11679,2025-11-11,Makkah,Electronics,Wireless Earbuds,1,144.16,$144.16,40.7,Retail
12513,2026-03-24,Riyadh,Home & Kitchen,Non-stick Pan Set,4,208.41,833.64,313.53,Retail
11165,2025-08-13,Riyadh,Home & Kitchen,Air Fryer,1,369.1,369.1,SAR 121.35,Wholesale
13237,2026-07-28,Madinah,Clothing,Denim Jacket,3,239.16,717.48,SAR 247.40,Online
12326,2026-02-21,Riyadh,Electronics,Bluetooth Speaker,1,206.39,206.39,SAR 83.46,Retail
10268,2025-03-20,Makkah,sports,Sports Bottle,4,43.13,172.52,SAR 75.47,Wholesale
13243,2026-07-29,Jeddah,Sports,Cycling Helmet,4,228.69,914.76,SAR 310.54,Wholesale
11282,2025-09-04,Jeddah,Sports,Cycling Helmet,4,222.8,891.2,391.14,Retail
10736,2025-06-04,Jeddah,Home & Kitchen,Air Fryer,2,,657.32,284.28,Retail
12815,2026-05-15,Riyadh,Beauty,Skincare Set,3,,888.45,303.81,Wholesale
10161,2025-03-02,  MAKKAH  ,Home & Kitchen,Blender,1,202.4,202.4,88.49,Retail
12306,2026-02-18,,clothing,Denim Jacket,4,262.38,1049.52,331.25,Wholesale
11875,2025-12-09,  RIYADH  ,Sports,Dumbbell Set,4,232.8,931.2,326.14,Wholesale
11653,2025-11-06,  RIYADH  ,Electronics,Laptop Stand,,79.18,475.08,146.32,Online
11139,2025-08-09,Makkah,beauty,Makeup Kit,5,233.13,"$1,165.65",459.26,Retail
11978,2025-12-26,Dammam,Home & Kitchen,Coffee Maker,3,274.38,823.14,SAR 320.89,Online
11957,2025-12-22,Dammam,Clothing,Running Shoes,2,285.87,571.74,230.23,Online
12927,2026-06-01,  RIYADH  ,Sports,Yoga Mat,6,100.01,600.06,227.0,Online
12544,2026-03-29,Riyadh,Sports,Yoga Mat,3,97.42,292.26,125.95,Retail
10782,2025-06-12,Madinah,Sports,Sports Bottle,6,36.13,216.78,SAR 74.02,Wholesale
10067,2025-02-12,Dammam,Sports,Dumbbell Set,2,250.27,500.54,SAR 145.23,
13257,2026-07-30,Madinah,Electronics,Wireless Earbuds,,165.36,661.44,205.36,Online
12613,2026-04-10,Madinah,sports,Sports Bottle,4,41.74,166.96,46.91,Wholesale
10027,2025-02-04,Jeddah,Home & Kitchen,Non-stick Pan Set,6,243.31,1459.86,548.21,Online
12204,2026-02-02,Jeddah,Beauty,Face Serum,3,147.11,441.33,193.58,
13027,2026-06-21,Makkah,Beauty,Skincare Set,5,275.01,1375.05,SAR 523.87,Online
12920,2026-05-31,Dammam,Electronics,Smart Watch,4,409.07,1636.28,543.17,Retail
10680,2025-05-26,Dammam,Beauty,Skincare Set,5,237.56,1187.8,SAR 458.14,Retail
11805,2025-11-29,Riyadh,Home & Kitchen,Non-stick Pan Set,4,218.77,875.08,263.53,Online
10961,2025-07-09,Madinah,Electronics,Smart Watch,1,438.01,438.01,150.03,Wholesale
12653,2026-04-17,Riyadh,Home & Kitchen,Air Fryer,1,381.84,381.84,SAR 160.32,Wholesale
10336,2025-04-01,  JEDDAH  ,Home & Kitchen,Coffee Maker,6,304.49,1826.94,812.12,Online
12797,2026-05-13,Dammam,Sports,Cycling Helmet,3,188.0,564.0,225.68,Wholesale
11453,2025-10-05,  MAKKAH  ,Beauty,Perfume,2,346.67,693.34,298.66,Online
10202,2025-03-08,Makkah,Clothing,Denim Jacket,4,257.25,"$1,029.00",422.8,Online
12676,2026-04-22,Makkah,home & kitchen,Blender,6,227.52,"$1,365.12",483.87,Wholesale
10641,2025-05-19,  RIYADH  ,Electronics,Smart Watch,3,414.77,"$1,244.31",SAR 438.32,Retail
11012,2025-07-19,Dammam,Sports,Dumbbell Set,5,269.45,1347.25,395.03,Wholesale
10529,2025-04-30,Riyadh,beauty,Skincare Set,4,268.85,1075.4,327.32,Online
10078,2025-02-14,  MAKKAH  ,Home & Kitchen,Coffee Maker,6,270.44,1622.64,515.67,Wholesale
10209,2025-03-09,  JEDDAH  ,Clothing,Cotton T-Shirt,2,56.88,$113.76,47.84,Retail
11307,2025-09-09,Jeddah,Home & Kitchen,Vacuum Cleaner,6,658.77,3952.62,1164.69,Online
11682,2025-11-11,Jeddah,Sports,Sports Bottle,2,37.28,74.56,24.99,Retail
12696,2026-04-26,Jeddah,Home & Kitchen,Vacuum Cleaner,3,566.75,"$1,700.25",580.87,Wholesale
12466,2026-03-15,Makkah,Sports,Yoga Mat,5,90.21,$451.05,179.72,Retail
12141,2026-01-23,Dammam,Electronics,Smart Watch,1,427.36,427.36,191.88,Retail
10818,2025-06-17,Dammam,Clothing,Leather Belt,,109.19,$327.57,SAR 112.56,Wholesale
10387,2025-04-08,  MADINAH  ,Clothing,Running Shoes,3,314.19,942.57,312.75,Wholesale
10312,2025-03-28,Makkah,Clothing,Cotton T-Shirt,4,64.72,258.88,108.3,Online
12389,2026-03-04,Riyadh,clothing,Cotton T-Shirt,1,,60.05,26.69,Wholesale
10046,2025-02-08,  MADINAH  ,Home & Kitchen,Coffee Maker,3,312.54,$937.62,281.78,Wholesale
12429,2026-03-10,Riyadh,Sports,Yoga Mat,1,83.71,83.71,32.8,Online
11195,2025-08-19,Dammam,Clothing,Cotton T-Shirt,1,66.23,66.23,23.72,Wholesale
12823,2026-05-17,  MADINAH  ,Beauty,Hair Dryer,1,178.79,178.79,69.71,Retail
12019,2026-01-01,Jeddah,clothing,Running Shoes,,327.9,327.9,145.88,Retail
11006,2025-07-18,  MADINAH  ,home & kitchen,Coffee Maker,2,309.64,619.28,205.73,Online
11407,2025-09-28,Makkah,Beauty,Face Serum,5,139.54,697.7,280.47,Retail
10868,2025-06-24,Dammam,Sports,Resistance Bands,5,61.0,305.0,126.45,Online
11861,2025-12-08,Jeddah,sports,Resistance Bands,5,53.31,$266.55,89.84,Wholesale
10039,2025-02-07,  MADINAH  ,Sports,Yoga Mat,6,87.08,522.48,230.66,Wholesale
10340,2025-04-02,  DAMMAM  ,Sports,Cycling Helmet,6,219.81,"$1,318.86",SAR 540.37,Retail
11231,2025-08-25,Jeddah,Clothing,Running Shoes,5,342.75,1713.75,543.35,Online
10446,2025-04-17,  DAMMAM  ,Electronics,Smart Watch,4,397.59,1590.36,SAR 650.48,Online
12517,2026-03-24,Madinah,Clothing,Running Shoes,3,318.53,955.59,370.52,Retail
11920,2025-12-16,  MAKKAH  ,Clothing,Wool Scarf,6,80.95,$485.70,174.62,Retail
10553,2025-05-04,  DAMMAM  ,Clothing,Denim Jacket,5,271.75,"$1,358.75",403.62,Online
12672,2026-04-20,Jeddah,Sports,Dumbbell Set,6,224.54,1347.24,536.43,Retail
10747,2025-06-05,Jeddah,Electronics,Laptop Stand,3,65.35,196.05,58.82,Wholesale
10963,2025-07-09,Madinah,home & kitchen,Non-stick Pan Set,6,252.32,1513.92,482.43,Online
10261,2025-03-19,Dammam,Clothing,Cotton T-Shirt,1,63.95,63.95,23.35,Wholesale
12208,2026-02-02,Dammam,Clothing,Running Shoes,5,341.64,1708.2,750.36,Wholesale
11687,2025-11-12,Madinah,Electronics,Power Bank,2,94.26,188.52,SAR 78.91,Online
12446,2026-03-13,Dammam,Electronics,Power Bank,1,87.04,87.04,26.18,Retail
12162,2026-01-27,Dammam,clothing,Running Shoes,3,276.69,$830.07,SAR 294.24,Retail
11968,2025-12-24,Makkah,Clothing,Leather Belt,6,104.31,625.86,233.09,Retail
11528,2025-10-17,Jeddah,Beauty,Face Serum,6,147.22,883.32,SAR 341.68,Online
11770,2025-11-25,Makkah,Home & Kitchen,Vacuum Cleaner,6,678.39,"$4,070.34",1317.63,Retail
12864,2026-05-23,Riyadh,Home & Kitchen,Air Fryer,5,388.68,1943.4,623.1,Online
11225,2025-08-25,Makkah,electronics,Bluetooth Speaker,2,199.64,399.28,157.67,Wholesale
11948,2025-12-20,  MAKKAH  ,Clothing,Running Shoes,3,291.17,$873.51,327.05,Wholesale
11798,2025-11-28,Jeddah,Home & Kitchen,Non-stick Pan Set,4,251.71,1006.84,385.95,Wholesale
11900,2025-12-13,Madinah,Home & Kitchen,Air Fryer,2,399.67,799.34,287.45,Wholesale
11865,2025-12-08,Riyadh,sports,Sports Bottle,1,36.23,$36.23,15.75,Online
13098,2026-07-06,Makkah,Electronics,Smart Watch,2,373.27,746.54,273.47,Wholesale
10511,2025-04-26,Madinah,Clothing,Denim Jacket,4,228.69,914.76,280.12,Wholesale
10686,2025-05-28,  MADINAH  ,Electronics,Power Bank,2,85.76,171.52,54.85,Retail
10631,2025-05-18,Madinah,beauty,Face Serum,3,123.23,369.69,152.95,Wholesale
11706,2025-11-15,Riyadh,Clothing,Cotton T-Shirt,2,66.28,$132.56,51.55,Wholesale
12848,2026-05-21,Jeddah,Clothing,Running Shoes,,299.65,898.95,254.39,Wholesale
12495,2026-03-20,,Sports,Dumbbell Set,4,250.55,1002.2,346.9,
11724,2025-11-17,Dammam,Home & Kitchen,Coffee Maker,3,281.55,844.65,371.78,Retail
12433,2026-03-11,  MAKKAH  ,Beauty,Makeup Kit,6,217.3,"$1,303.80",387.24,Retail
11390,2025-09-25,  MADINAH  ,Beauty,Hair Dryer,4,181.06,$724.24,266.54,Online
11587,2025-10-27,Madinah,Home & Kitchen,Blender,2,226.82,$453.64,127.57,Retail
12070,2026-01-10,Makkah,Home & Kitchen,Coffee Maker,4,,1243.4,488.98,Online
11026,2025-07-21,Makkah,Clothing,Cotton T-Shirt,1,55.37,$55.37,22.09,Online
11324,2025-09-11,Madinah,home & kitchen,Non-stick Pan Set,4,215.54,862.16,SAR 357.58,
12634,2026-04-13,Makkah,Beauty,Skincare Set,3,277.49,$832.47,294.06,Retail
11401,2025-09-27,Jeddah,Beauty,Perfume,2,366.58,$733.16,311.74,Online
11950,2025-12-21,Dammam,electronics,Smart Watch,3,415.31,1245.93,409.48,Wholesale
11608,2025-10-30,Riyadh,Sports,Cycling Helmet,3,187.34,562.02,233.24,Online
11690,2025-11-13,Makkah,Electronics,Power Bank,4,98.2,392.8,166.87,Wholesale
10550,2025-05-03,Madinah,Beauty,Skincare Set,1,233.58,$233.58,65.43,Wholesale
12682,2026-04-23,Jeddah,clothing,Leather Belt,,,558.05,230.81,Wholesale
12812,2026-05-15,Dammam,Clothing,Wool Scarf,1,74.01,74.01,31.91,Retail
12037,2026-01-04,Madinah,Home & Kitchen,Air Fryer,3,351.31,"$1,053.93",469.72,Online
12474,2026-03-17,Dammam,Beauty,Makeup Kit,6,241.15,1446.9,506.92,Online
10663,2025-05-24,Makkah,Sports,Cycling Helmet,1,198.84,198.84,72.5,Online
12767,2026-05-07,Madinah,Sports,Dumbbell Set,3,269.1,807.3,314.7,Wholesale
12176,2026-01-29,Riyadh,Home & Kitchen,Non-stick Pan Set,3,227.1,681.3,247.22,Wholesale
12917,2026-05-30,  DAMMAM  ,Sports,Resistance Bands,2,53.77,$107.54,41.3,Retail
12442,2026-03-12,Riyadh,clothing,Leather Belt,5,103.94,519.7,225.02,Retail
12490,2026-03-20,Jeddah,Home & Kitchen,Blender,6,200.58,1203.48,SAR 400.82,Retail
12239,2026-02-07,Dammam,Home & Kitchen,Vacuum Cleaner,3,615.6,1846.8,780.87,Retail
11173,2025-08-14,Dammam,Beauty,Hair Dryer,5,151.34,756.7,SAR 251.66,Retail
12559,2026-03-31,Madinah,Sports,Dumbbell Set,4,259.71,1038.84,381.76,Wholesale
11707,2025-11-15,Madinah,Sports,Yoga Mat,3,84.22,252.66,82.34,Online
12483,2026-03-19,Madinah,Clothing,Cotton T-Shirt,4,63.26,$253.04,90.59,Online
12566,2026-04-01,Dammam,Home & Kitchen,Vacuum Cleaner,2,679.11,1358.22,446.19,Wholesale
11419,2025-09-30,Dammam,Sports,Dumbbell Set,1,244.35,244.35,80.31,Online
11914,2025-12-15,  JEDDAH  ,beauty,Makeup Kit,6,234.82,1408.92,589.53,Online
12789,2026-05-12,Makkah,Sports,Resistance Bands,6,66.26,$397.56,172.8,Wholesale
12997,2026-06-15,Riyadh,Beauty,Face Serum,5,125.81,$629.05,179.59,Online
12922,2026-06-01,Makkah,Beauty,Perfume,2,343.26,686.52,307.99,Retail
10279,2025-03-22,Dammam,Sports,Dumbbell Set,3,277.73,833.19,329.71,Wholesale
10499,2025-04-25,Jeddah,Home & Kitchen,Coffee Maker,3,255.25,765.75,325.36,Online
11349,2025-09-17,  JEDDAH  ,Clothing,Leather Belt,,102.01,408.04,170.89,Online
13158,2026-07-15,  RIYADH  ,Sports,Cycling Helmet,4,194.37,777.48,260.03,Wholesale
11804,2025-11-29,Makkah,Beauty,Makeup Kit,1,,211.79,69.09,Wholesale
11409,2025-09-28,Dammam,Beauty,Hair Dryer,5,148.57,742.85,SAR 246.39,Wholesale
11161,2025-08-13,Jeddah,Electronics,Smart Watch,4,423.8,"$1,695.20",575.6,Wholesale
11800,2025-11-29,Makkah,Home & Kitchen,Coffee Maker,6,280.73,1684.38,707.52,Wholesale
11634,2025-11-03,Riyadh,clothing,Wool Scarf,4,,$299.24,SAR 129.34,
12247,2026-02-08,Madinah,Clothing,Wool Scarf,4,82.18,328.72,SAR 131.98,Online
11636,2025-11-03,Jeddah,Sports,Yoga Mat,2,84.97,169.94,65.97,Wholesale
13177,2026-07-18,Jeddah,Home & Kitchen,Blender,3,226.35,679.05,276.47,Online
10683,2025-05-27,Madinah,Electronics,Wireless Earbuds,4,158.66,634.64,188.27,Online
10541,2025-05-02,Jeddah,Electronics,Smart Watch,,404.63,404.63,118.93,Online
12969,2026-06-11,Riyadh,Sports,Cycling Helmet,6,198.02,1188.12,490.1,Online
12167,2026-01-27,  MADINAH  ,Sports,Dumbbell Set,4,279.75,1119.0,SAR 318.97,Online
11663,2025-11-08,  MAKKAH  ,Beauty,Skincare Set,3,,755.31,215.41,Wholesale
13105,2026-07-07,Madinah,Beauty,Skincare Set,6,255.72,1534.32,530.79,Wholesale
10847,2025-06-21,Riyadh,Beauty,Perfume,4,361.52,1446.08,649.32,Wholesale
10841,2025-06-20,Madinah,Clothing,Wool Scarf,1,,76.04,25.28,Online
12643,2026-04-15,Madinah,Electronics,Laptop Stand,6,68.85,413.1,160.21,Online
11778,2025-11-26,Jeddah,Home & Kitchen,Non-stick Pan Set,3,208.86,$626.58,226.82,Online
11253,2025-08-30,Riyadh,Home & Kitchen,Non-stick Pan Set,5,231.8,1159.0,520.53,Retail
11300,2025-09-08,Madinah,Electronics,Power Bank,6,91.51,$549.06,176.03,Retail
12030,2026-01-03,  MAKKAH  ,Sports,Cycling Helmet,5,,1039.05,311.5,Retail
10062,2025-02-11,Riyadh,Home & Kitchen,Coffee Maker,5,318.24,1591.2,SAR 644.23,Retail
12584,2026-04-04,Jeddah,Home & Kitchen,Non-stick Pan Set,5,214.63,1073.15,375.72,Wholesale
10879,2025-06-27,Jeddah,Home & Kitchen,Blender,5,194.98,974.9,365.6,Retail
11523,2025-10-16,Jeddah,Beauty,Face Serum,5,139.16,$695.80,250.78,Online
12093,2026-01-13,Madinah,Sports,Sports Bottle,2,42.57,$85.14,24.13,Online
10079,2025-02-14,Jeddah,Home & Kitchen,Non-stick Pan Set,1,246.95,246.95,SAR 101.28,Wholesale
12343,2026-02-24,Makkah,Clothing,Denim Jacket,2,277.24,554.48,SAR 188.72,Online
12191,2026-01-31,  JEDDAH  ,Beauty,Makeup Kit,3,237.37,712.11,256.22,Online
11491,2025-10-11,Makkah,Sports,Cycling Helmet,3,194.19,582.57,240.34,Online
11025,2025-07-21,Madinah,Beauty,Face Serum,3,143.02,429.06,170.91,Online
10497,2025-04-25,Madinah,home & kitchen,Coffee Maker,4,253.75,"$1,015.00",447.06,Online
11629,2025-11-02,Makkah,home & kitchen,Coffee Maker,2,291.8,583.6,250.72,Wholesale
10837,2025-06-20,Riyadh,clothing,Running Shoes,4,298.85,"$1,195.40",SAR 476.04,Wholesale
10661,2025-05-23,Riyadh,sports,Resistance Bands,5,66.29,331.45,118.74,Online
12137,2026-01-22,  JEDDAH  ,Home & Kitchen,Vacuum Cleaner,1,572.83,572.83,196.69,Wholesale
12550,2026-03-29,Makkah,Home & Kitchen,Air Fryer,5,326.25,1631.25,SAR 457.60,Retail
10518,2025-04-28,Madinah,Beauty,Hair Dryer,1,144.12,144.12,60.67,Wholesale
11570,2025-10-25,  RIYADH  ,Sports,Cycling Helmet,2,195.21,$390.42,110.22,Online
10948,2025-07-06,Jeddah,Clothing,Leather Belt,1,113.05,113.05,38.17,Wholesale
12509,2026-03-23,Dammam,Electronics,Laptop Stand,1,74.51,74.51,21.01,Wholesale
12579,2026-04-02,Madinah,Sports,Sports Bottle,3,35.39,$106.17,33.25,Retail
11352,2025-09-18,Jeddah,Sports,Yoga Mat,4,,384.92,152.83,Online
12308,2026-02-18,,electronics,Power Bank,1,92.6,92.6,30.58,Retail
10083,2025-02-15,Makkah,Beauty,Face Serum,3,125.73,377.19,144.73,Wholesale
10586,2025-05-11,Riyadh,Electronics,Smart Watch,6,423.66,2541.96,1001.86,Wholesale
10170,2025-03-03,Jeddah,Beauty,Perfume,2,388.74,777.48,336.73,Online
12916,2026-05-30,Dammam,Sports,Cycling Helmet,2,226.85,453.7,176.46,Retail
11640,2025-11-04,Makkah,Home & Kitchen,Blender,1,225.21,225.21,98.13,Wholesale
12949,2026-06-06,Makkah,Home & Kitchen,Vacuum Cleaner,5,645.5,3227.5,1067.7,Online
11375,2025-09-22,Dammam,Beauty,Perfume,6,393.76,2362.56,1019.3,Online
11415,2025-09-30,Makkah,Electronics,Power Bank,,88.6,531.6,182.07,Wholesale
12354,2026-02-26,Makkah,clothing,Cotton T-Shirt,6,56.76,340.56,116.19,Retail
12535,2026-03-27,  JEDDAH  ,Beauty,Skincare Set,6,237.08,1422.48,473.68,Retail
13047,2026-06-26,Madinah,Home & Kitchen,Vacuum Cleaner,4,591.31,2365.24,SAR 951.09,Online
10054,2025-02-10,Jeddah,Electronics,Bluetooth Speaker,3,223.82,671.46,211.28,Retail
10296,2025-03-25,Madinah,Clothing,Cotton T-Shirt,5,60.19,$300.95,108.61,Online
10088,2025-02-17,Dammam,home & kitchen,Non-stick Pan Set,3,249.15,$747.45,230.64,Wholesale
12702,2026-04-26,Makkah,Beauty,Face Serum,2,138.25,276.5,100.93,Online
10416,2025-04-12,Makkah,Clothing,Cotton T-Shirt,5,53.56,267.8,85.86,Wholesale
10056,2025-02-10,Madinah,Clothing,Denim Jacket,2,284.87,569.74,177.86,Wholesale
12557,2026-03-30,Madinah,electronics,Wireless Earbuds,4,139.84,559.36,SAR 208.39,Wholesale
12198,2026-02-01,Makkah,Home & Kitchen,Non-stick Pan Set,4,255.83,1023.32,379.71,Retail
11810,2025-12-01,Jeddah,Sports,Dumbbell Set,1,226.35,226.35,101.09,Online
12116,2026-01-18,Riyadh,Sports,Yoga Mat,2,101.17,202.34,80.49,Online
11650,2025-11-06,Dammam,Beauty,Hair Dryer,1,169.57,169.57,63.97,Retail
10745,2025-06-05,  RIYADH  ,Sports,Dumbbell Set,3,241.95,725.85,260.6,Online
11825,2025-12-03,Jeddah,Electronics,Bluetooth Speaker,6,207.22,1243.32,473.57,Retail
11618,2025-10-31,Dammam,Clothing,Denim Jacket,1,274.07,274.07,100.1,Wholesale
12405,2026-03-06,Dammam,Sports,Dumbbell Set,1,278.21,278.21,117.43,Wholesale
11259,2025-08-31,Makkah,Sports,Yoga Mat,1,101.78,101.78,29.94,Wholesale
10429,2025-04-14,Makkah,Beauty,Makeup Kit,5,197.24,$986.20,314.0,Online
10439,2025-04-16,Makkah,Electronics,Wireless Earbuds,1,145.77,145.77,43.76,Retail
12475,2026-03-17,Makkah,Sports,Cycling Helmet,5,196.86,$984.30,379.36,Online
11058,2025-07-26,Jeddah,Electronics,Bluetooth Speaker,2,195.95,391.9,136.72,Wholesale
10817,2025-06-17,Makkah,Beauty,Hair Dryer,1,156.88,156.88,61.21,Online
12734,2026-05-02,Dammam,Beauty,Perfume,6,351.57,2109.42,858.24,Retail
10733,2025-06-03,Jeddah,Home & Kitchen,Coffee Maker,3,273.2,819.6,328.22,
10483,2025-04-22,Jeddah,Beauty,Hair Dryer,1,179.08,179.08,55.34,Wholesale
13143,2026-07-13,Jeddah,Sports,Dumbbell Set,1,266.0,266.0,SAR 81.30,Online
10091,2025-02-17,Madinah,Clothing,Denim Jacket,,253.58,$507.16,SAR 218.36,Retail
12098,2026-01-14,  MAKKAH  ,Beauty,Perfume,2,388.02,776.04,325.08,Wholesale
10646,2025-05-20,Riyadh,beauty,Hair Dryer,5,151.84,$759.20,245.26,
11715,2025-11-16,Makkah,Home & Kitchen,Air Fryer,1,343.59,343.59,139.38,Wholesale
10073,2025-02-13,Makkah,Beauty,Skincare Set,2,279.61,559.22,215.15,Wholesale
11487,2025-10-10,Jeddah,home & kitchen,Air Fryer,5,319.4,1597.0,454.63,Retail
11019,2025-07-20,Riyadh,Home & Kitchen,Blender,3,194.43,583.29,218.3,Online
10678,2025-05-26,Jeddah,Beauty,Skincare Set,4,289.26,1157.04,487.12,Wholesale
13063,2026-06-27,  MADINAH  ,Home & Kitchen,Non-stick Pan Set,1,237.9,237.9,89.65,Retail
11330,2025-09-12,Riyadh,Electronics,Bluetooth Speaker,2,201.02,402.04,SAR 168.76,Online
10155,2025-02-28,,Electronics,Power Bank,3,80.28,240.84,SAR 72.96,
13153,2026-07-14,Madinah,Electronics,Smart Watch,3,403.81,1211.43,481.7,Online
10645,2025-05-20,Dammam,Sports,Yoga Mat,3,97.13,$291.39,109.44,Wholesale
12900,2026-05-28,  MADINAH  ,Home & Kitchen,Blender,1,181.21,181.21,62.17,Wholesale
11616,2025-10-31,  DAMMAM  ,sports,Dumbbell Set,5,237.64,1188.2,SAR 421.38,Online
10213,2025-03-10,  MAKKAH  ,Beauty,Face Serum,1,127.99,127.99,51.35,Online
11017,2025-07-20,Makkah,Clothing,Wool Scarf,3,83.01,249.03,90.41,Retail
10573,2025-05-08,Jeddah,Clothing,Denim Jacket,2,269.8,539.6,188.73,Retail
12910,2026-05-29,Jeddah,beauty,Skincare Set,5,236.31,1181.55,460.62,Online
10642,2025-05-20,Makkah,Beauty,Perfume,6,349.39,2096.34,830.59,Wholesale
10420,2025-04-13,Jeddah,Home & Kitchen,Air Fryer,4,337.03,1348.12,409.05,Retail
11140,2025-08-09,Madinah,Beauty,Makeup Kit,6,251.84,1511.04,447.01,Online
11961,2025-12-23,Riyadh,Electronics,Power Bank,,91.74,458.7,187.33,Online
11215,2025-08-23,Makkah,Home & Kitchen,Vacuum Cleaner,1,682.57,682.57,SAR 203.88,Online
11933,2025-12-18,Jeddah,Sports,Cycling Helmet,5,228.8,1144.0,398.2,Online
12560,2026-03-31,Makkah,Sports,Dumbbell Set,5,237.23,"$1,186.15",428.01,Wholesale
11737,2025-11-20,Riyadh,Clothing,Denim Jacket,4,235.58,942.32,354.99,Retail
13079,2026-07-02,Makkah,Beauty,Makeup Kit,1,221.06,221.06,SAR 83.44,Wholesale
12674,2026-04-21,Jeddah,Sports,Sports Bottle,3,35.34,106.02,44.73,Wholesale
11176,2025-08-15,Dammam,Clothing,Denim Jacket,5,226.09,1130.45,496.47,Wholesale
